Item Name,Date,Key,AHMEDABAD,Bangalore,Cuttack,Chandigarh,Chennai,Cochin,Coimbatore,Delhi,Faridabad,Ghaziabad,GUWAHATI,Indore,Jaipur,Jalandhar,Kolkata,LUCKNOW,Madurai,Bhiwandi,Nagpur,Patna,Pune,RAIPUR,Ranchi,SECUNDERABAD,Vijaywada
500MMCKM-MARKI,M_7th,500MMCKM-MARKI_M_7th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
500MMCKM-MARKI,M_15th,500MMCKM-MARKI_M_15th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
500MMCKM-MARKI,M_25th,500MMCKM-MARKI_M_25th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
500MMCKM-MARKI,M+1_7th,500MMCKM-MARKI_M+1_7th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
AC450PED-1,M_7th,AC450PED-1_M_7th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
AC450PED-1,M_15th,AC450PED-1_M_15th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
AC450PED-1,M_25th,AC450PED-1_M_25th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
AC450PED-1,M+1_7th,AC450PED-1_M+1_7th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
AC450WALL-1,M_7th,AC450WALL-1_M_7th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
AC450WALL-1,M_15th,AC450WALL-1_M_15th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
AC450WALL-1,M_25th,AC450WALL-1_M_25th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
AC450WALL-1,M+1_7th,AC450WALL-1_M+1_7th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
AC600PED-1,M_7th,AC600PED-1_M_7th,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
